425.00000	 0.00032
430.00000	 0.00034
435.00000	 0.00034
440.00000	 0.00036
445.00000	 0.00040
450.00000	 0.00040
455.00000	 0.00046
460.00000	 0.00050
465.00000	 0.00059
470.00000	 0.00066
475.00000	 0.00082
480.00000	 0.00102
485.00000	 0.00141
490.00000	 0.00177
495.00000	 0.00199
500.00000	 0.00173
505.00000	 0.00124
510.00000	 0.00103
515.00000	 0.00079
520.00000	 0.00067
525.00000	 0.00061
530.00000	 0.00051
535.00000	 0.00046
540.00000	 0.00039
545.00000	 0.00041
550.00000	 0.00036
555.00000	 0.00037
560.00000	 0.00035
565.00000	 0.00032
