Frequency	Gain
 0.00000	 0.00023
 5.00000	 0.00064
10.00000	 0.00076
15.00000	 0.00093
20.00000	 0.00105
25.00000	 0.00112
30.00000	 0.00114
35.00000	 0.00113
40.00000	 0.00138
45.00000	 0.00158
50.00000	 0.00164
55.00000	 0.00165
60.00000	 0.00168
65.00000	 0.00173
70.00000	 0.00177
75.00000	 0.00183
80.00000	 0.00187
85.00000	 0.00197
90.00000	 0.00206
95.00000	 0.00219
100.00000	 0.00234
105.00000	 0.00251
110.00000	 0.00274
115.00000	 0.00298
120.00000	 0.00322
125.00000	 0.00376
130.00000	 0.00438
135.00000	 0.00537
140.00000	 0.00675
145.00000	 0.00931
150.00000	 0.01495
155.00000	 0.03115
160.00000	 0.02562
165.00000	 0.01266
170.00000	 0.00807
175.00000	 0.00582
180.00000	 0.00454
185.00000	 0.00371
190.00000	 0.00311
195.00000	 0.00268
200.00000	 0.00241
205.00000	 0.00209
210.00000	 0.00195
215.00000	 0.00172
220.00000	 0.00165
225.00000	 0.00152
230.00000	 0.00143
235.00000	 0.00133
240.00000	 0.00130
245.00000	 0.00125
250.00000	 0.00122
255.00000	 0.00122
260.00000	 0.00125
265.00000	 0.00128
270.00000	 0.00134
275.00000	 0.00143
280.00000	 0.00157
285.00000	 0.00177
290.00000	 0.00203
295.00000	 0.00242
300.00000	 0.00304
305.00000	 0.00398
310.00000	 0.00576
315.00000	 0.00823
320.00000	 0.00843
325.00000	 0.00609
330.00000	 0.00434
335.00000	 0.00334
340.00000	 0.00268
345.00000	 0.00227
350.00000	 0.00196
355.00000	 0.00176
360.00000	 0.00159
365.00000	 0.00145
370.00000	 0.00137
375.00000	 0.00129
380.00000	 0.00123
385.00000	 0.00116
390.00000	 0.00113
395.00000	 0.00110
400.00000	 0.00109
405.00000	 0.00108
410.00000	 0.00109
415.00000	 0.00111
420.00000	 0.00114
425.00000	 0.00117
430.00000	 0.00123
435.00000	 0.00130
440.00000	 0.00143
445.00000	 0.00157
450.00000	 0.00173
455.00000	 0.00200
460.00000	 0.00239
465.00000	 0.00295
470.00000	 0.00374
475.00000	 0.00497
480.00000	 0.00616
485.00000	 0.00597
490.00000	 0.00459
495.00000	 0.00348
500.00000	 0.00267
505.00000	 0.00224
510.00000	 0.00187
515.00000	 0.00160
520.00000	 0.00139
525.00000	 0.00129
530.00000	 0.00115
535.00000	 0.00106
540.00000	 0.00099
545.00000	 0.00094
550.00000	 0.00089
555.00000	 0.00086
560.00000	 0.00084
565.00000	 0.00083
570.00000	 0.00083
575.00000	 0.00084
580.00000	 0.00086
585.00000	 0.00088
590.00000	 0.00092
595.00000	 0.00101
600.00000	 0.00110
605.00000	 0.00122
610.00000	 0.00138
615.00000	 0.00161
620.00000	 0.00195
625.00000	 0.00240
630.00000	 0.00310
635.00000	 0.00420
640.00000	 0.00604
645.00000	 0.00811
650.00000	 0.00746
655.00000	 0.00537
660.00000	 0.00399
665.00000	 0.00319
670.00000	 0.00262
675.00000	 0.00223
680.00000	 0.00197
685.00000	 0.00178
690.00000	 0.00161
695.00000	 0.00149
700.00000	 0.00138
705.00000	 0.00129
710.00000	 0.00123
715.00000	 0.00116
720.00000	 0.00111
725.00000	 0.00107
730.00000	 0.00103
735.00000	 0.00099
740.00000	 0.00098
745.00000	 0.00095
750.00000	 0.00093
755.00000	 0.00092
760.00000	 0.00092
765.00000	 0.00092
770.00000	 0.00093
775.00000	 0.00095
780.00000	 0.00097
785.00000	 0.00103
790.00000	 0.00111
795.00000	 0.00127
800.00000	 0.00158
805.00000	 0.00200
810.00000	 0.00180
815.00000	 0.00090
820.00000	 0.00045
825.00000	 0.00023
